  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1    5    0  100.00 100.00     5      5    5      0      5     3    60.00
   2   10    0   60.00  66.67     6     10    9      2     10     8    80.00
   3    7    0  100.00 100.00     6      6    6      0      7     5    71.43
   4   10    0   71.43  71.43     5      7    7      1     10     8    80.00
   5    5    0  100.00 100.00     3      3    3      0      5     4    80.00
   6    9    0   50.00  50.00     3      6    6      2      9     7    77.78
   7    8    0   85.71  75.00     6      7    8      0      8     6    75.00
   8   10    0  100.00 100.00     7      7    7      0     10     7    70.00
   9   10    0   75.00  85.71     6      8    7      0     10     8    80.00
  10   11    0   90.00  90.00     9     10   10      0     11    10    90.91
  11    6    0   83.33 100.00     5      6    5      0      6     4    66.67
  12    7    0   80.00 100.00     4      5    4      0      7     6    85.71
  13    6    0   66.67  50.00     2      3    4      0      6     5    83.33
  14    3    0  100.00 100.00     3      3    3      0      3     2    66.67
  15    6    0  100.00 100.00     4      4    4      0      6     5    83.33
  16   10    0  100.00 100.00    10     10   10      0     10     7    70.00
  17   11    0   81.82  75.00     9     11   12      2     11     8    72.73
  18   10    0   71.43  83.33     5      7    6      0     10     8    80.00
  19   10    0  100.00 100.00     8      8    8      0     10     7    70.00
  20    8    0  100.00 100.00     6      6    6      0      8     6    75.00
  21    5    0  100.00 100.00     4      4    4      0      5     4    80.00
  22    9    0   90.00  90.00     9     10   10      0      9     6    66.67
  23   11    0  100.00 100.00     6      6    6      0     11    10    90.91
  24    9    0  100.00 100.00     8      8    8      0      9     5    55.56
  25   10    0  100.00 100.00     7      7    7      0     10     8    80.00
  26   10    0  100.00 100.00     5      5    5      0     10     9    90.00
  27   11    0  100.00 100.00     8      8    8      0     11     9    81.82
  28   10    0  100.00 100.00     6      6    6      0     10     8    80.00
  29    7    0  100.00 100.00     6      6    6      0      7     5    71.43
  30    5    0  100.00 100.00     5      5    5      0      5     4    80.00
